Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,Q1,1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,Q27_1,Q29_1,Q29_2,Q29_3,SelectedStim_1,SelectedStim_2,SelectedStim_3,SelectedStim_4,SelectedStim_11,SelectedStim_12,SelectedStim_13,SelectedStim_14,SelectedStim_21,SelectedStim_22,SelectedStim_23,SelectedStim_24,UnselectedStim_1,UnselectedStim_2,UnselectedStim_3,UnselectedStim_4,UnselectedStim_11,UnselectedStim_12,UnselectedStim_13,UnselectedStim_14,UnselectedStim_21,UnselectedStim_22,UnselectedStim_23,UnselectedStim_24,CorrectStim_1,CorrectStim_2,CorrectStim_3,CorrectStim_4,CorrectStim_11,CorrectStim_12,CorrectStim_13,CorrectStim_14,CorrectStim_21,CorrectStim_22,CorrectStim_23,CorrectStim_24,IsCorrect_1,IsCorrect_2,IsCorrect_3,IsCorrect_4,IsCorrect_11,IsCorrect_12,IsCorrect_13,IsCorrect_14,IsCorrect_21,IsCorrect_22,IsCorrect_23,IsCorrect_24,IncorrectStim_1,IncorrectStim_2,IncorrectStim_3,IncorrectStim_4,IncorrectStim_11,IncorrectStim_12,IncorrectStim_13,IncorrectStim_14,IncorrectStim_21,IncorrectStim_22,IncorrectStim_23,IncorrectStim_24,ClipA,ClipB,TrueChoice,ParticipantChoice
100,854,TRUE,R_6gClHciP7MHRn0w,EN,I consent,A,B,B,B,A,B,A,A,A,A,A,A,Very familiar (I recognize many),3,3,0,1,14,3,4,11,14,13,14,21,11,23,1,13,2,23,3,12,12,4,3,12,22,13,24,1,2,3,4,11,12,13,14,21,22,23,24,1,0,1,1,1,0,1,1,1,0,1,0,13,14,23,3,12,14,4,3,12,11,13,1,1,13,A,A
100,2940,TRUE,R_62TZoLguNTlVCgN,EN,I consent,A,B,B,A,B,B,B,A,A,B,B,A,Extremely familiar (I know most or all welll),10,4,0,1,2,3,4,11,12,14,14,21,22,23,24,3,21,12,11,3,22,13,22,11,12,21,12,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,3,21,12,11,3,22,14,22,11,12,21,12,4,11,A,A
100,539,TRUE,R_3VswVegTU9jztQD,EN,I consent,A,A,A,B,B,B,B,A,A,A,B,B,Very familiar (I recognize many),10,10,1,1,2,3,4,11,12,14,14,21,1,23,24,24,11,23,12,22,13,13,24,12,22,4,21,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,0,1,1,24,11,23,12,22,13,14,24,12,1,4,21,21,24,B,B
100,653,TRUE,R_1DwhpfvwRPV9yjU,EN,I consent,A,B,A,B,A,B,B,B,A,B,A,A,Very familiar (I recognize many),5,5,1,1,2,3,4,11,12,13,22,21,22,23,24,24,14,21,24,22,1,22,14,24,11,4,4,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,0,1,1,1,1,24,14,21,24,22,1,22,22,24,11,4,4,24,4,A,A
100,390,TRUE,R_640lMxUEkBvE1d6,EN,I consent,A,B,B,A,B,A,A,B,A,A,B,B,Very familiar (I recognize many),10,10,10,1,2,3,4,11,12,21,14,21,22,23,24,13,13,12,24,22,3,13,21,24,14,22,23,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,13,13,12,24,22,3,21,21,24,14,22,23,22,11,B,B
100,558,TRUE,R_1IoSePEi10LYUYJ,EN,I consent,B,A,A,A,A,A,A,A,B,B,A,B,Very familiar (I recognize many),10,4,2,1,2,3,4,11,12,13,2,13,22,23,24,23,21,21,12,12,3,24,14,21,2,12,11,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,0,0,1,1,1,23,21,21,12,12,3,24,2,13,2,12,11,11,12,A,A
100,683,TRUE,R_6FYCOCLLiyq5bOh,EN,I consent,B,A,A,B,A,A,B,A,A,A,B,A,Very familiar (I recognize many),4,2,4,1,2,3,4,11,24,12,14,21,22,23,24,14,3,23,24,12,12,13,2,14,14,2,22,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,0,0,1,1,1,1,1,14,3,23,24,12,24,12,2,14,14,2,22,24,22,A,A
100,762,TRUE,R_7UAJOUpt0iApiaB,EN,I consent,B,A,A,A,A,B,A,A,B,A,B,B,Extremely familiar (I know most or all welll),10,10,0,1,2,3,4,11,12,11,14,21,22,23,24,12,14,22,22,21,14,13,2,13,12,13,14,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,12,14,22,22,21,14,11,2,13,12,13,14,3,22,A,A
100,705,TRUE,R_5EELf0vsO1z5y0L,EN,I consent,B,A,A,B,B,A,B,A,A,B,A,B,Very familiar (I recognize many),5,5,0,1,2,3,4,12,12,22,14,21,22,23,24,21,23,14,1,11,3,13,1,11,3,2,1,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,0,1,0,1,1,1,1,1,21,23,14,1,12,3,22,1,11,3,2,1,21,11,A,A
100,409,TRUE,R_5k9G8oLylyRdVQJ,EN,I consent,A,B,B,B,A,A,A,A,A,A,A,A,Very familiar (I recognize many),5,5,4,1,2,3,4,11,12,22,14,21,22,23,24,4,14,12,12,14,22,13,1,12,11,21,2,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,4,14,12,12,14,22,22,1,12,11,21,2,24,2,A,A
100,541,TRUE,R_5MRQffyzTJlZK1o,EN,I consent,A,B,B,A,B,B,B,A,B,B,A,B,Extremely familiar (I know most or all welll),3,2,2,1,2,3,4,11,12,22,14,11,22,23,24,14,21,14,3,14,21,13,2,21,11,13,11,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,0,1,1,1,14,21,14,3,14,21,22,2,11,11,13,11,11,24,B,B
100,194,TRUE,R_7OUYUoFlXksNrC3,EN,I consent,B,B,A,B,A,B,A,B,A,A,B,B,Very familiar (I recognize many),8,6,0,1,2,3,4,11,3,13,14,22,22,23,24,21,3,22,1,24,12,11,13,21,1,12,13,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,0,1,1,0,1,1,1,21,3,22,1,24,3,11,13,22,1,12,13,22,21,B,A
100,524,TRUE,R_1DBAuvOw8mYutSA,EN,I consent,B,A,B,A,B,B,A,A,A,B,B,B,Very familiar (I recognize many),0,0,0,1,2,3,4,22,12,22,14,21,22,23,12,13,11,23,12,11,13,13,13,14,4,2,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,0,1,0,1,1,1,1,0,13,11,23,12,22,13,22,13,14,4,2,12,11,22,A,B
100,646,TRUE,R_6BDjeqr9nwNwj85,EN,I consent,B,B,B,A,B,A,B,A,B,A,A,B,Moderately familiar (I recognize some),7,3,1,1,2,3,4,11,12,2,14,21,22,23,2,23,24,11,23,4,3,13,21,22,21,22,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,0,23,24,11,23,4,3,2,21,22,21,22,2,4,11,B,B
100,455,TRUE,R_5q4xu56eGOARC8N,EN,I consent,B,A,B,B,B,A,B,A,A,A,B,B,Very familiar (I recognize many),10,10,0,1,2,3,4,11,4,1,14,21,22,23,24,12,4,2,3,12,12,13,1,14,23,21,4,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,0,0,1,1,1,1,1,12,4,2,3,12,4,1,1,14,23,21,4,12,11,B,B
100,421,TRUE,R_31eCfjOUmK9755L,EN,I consent,B,A,B,A,A,A,A,A,A,B,A,A,Very familiar (I recognize many),6,6,3,1,2,3,4,11,12,24,14,4,22,23,24,13,24,23,11,21,4,13,13,21,13,3,3,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,0,1,1,1,13,24,23,11,21,4,24,13,4,13,3,3,13,22,B,B
100,932,TRUE,R_52W7XxKjSUFUP85,EN,I consent,A,B,B,A,A,A,B,A,B,B,A,B,Very familiar (I recognize many),10,6,4,1,2,3,4,11,12,22,14,21,22,23,24,13,24,21,13,13,22,13,22,3,24,11,22,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,13,24,21,13,13,22,22,22,3,24,11,22,3,21,B,B
100,550,TRUE,R_5E4GpPu5xlEZGIe,EN,I consent,A,A,A,B,B,B,B,A,A,B,B,A,Extremely familiar (I know most or all welll),7,3,0,1,2,3,4,11,12,13,14,21,22,23,24,14,3,21,21,14,1,23,1,4,1,11,3,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,1,14,3,21,21,14,1,23,1,4,1,11,3,1,22,B,B
100,947,TRUE,R_7Qfiwpg0wzGAmxr,EN,I consent,A,A,B,A,A,A,A,A,B,A,A,A,Very familiar (I recognize many),10,7,2,1,2,3,24,11,12,22,14,21,22,23,24,24,1,1,4,2,23,13,22,2,4,14,2,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,0,1,1,0,1,1,1,1,1,24,1,1,24,2,23,22,22,2,4,14,2,22,13,B,A
100,366,TRUE,R_3eLAIYfWQGqkr5L,EN,I consent,B,B,A,B,B,B,A,B,A,B,B,B,Extremely familiar (I know most or all welll),10,10,10,1,2,3,4,11,4,13,14,12,22,23,2,4,11,2,13,23,12,12,23,21,1,13,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,0,1,1,0,1,1,0,4,11,2,13,23,4,12,23,12,1,13,2,3,2,A,A
100,530,TRUE,R_6c7uL7t9ZBXkGng,EN,I consent,B,B,B,A,B,A,B,A,B,A,B,A,Very familiar (I recognize many),7,6,2,1,2,3,4,11,12,22,23,21,22,13,24,12,13,14,12,3,3,13,14,23,21,23,2,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,0,1,1,0,1,12,13,14,12,3,3,22,23,23,21,13,2,12,3,A,A
100,684,TRUE,R_7GdIcaRr1yYwaWT,EN,I consent,A,A,A,B,A,A,A,A,B,A,B,A,Very familiar (I recognize many),10,9,1,1,2,14,21,11,12,13,14,21,22,23,4,21,21,3,4,4,14,12,21,12,1,14,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,0,0,1,1,1,1,1,1,1,0,21,21,14,21,4,14,12,21,12,1,14,4,12,14,A,A
100,954,TRUE,R_73TPIOlN4rFVh43,EN,I consent,A,B,B,B,B,B,A,A,B,A,A,B,Very familiar (I recognize many),1,1,0,1,2,3,4,11,12,22,14,21,22,23,24,2,13,14,12,3,14,13,21,12,11,13,14,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,2,13,14,12,3,14,22,21,12,11,13,14,12,21,B,B
100,578,TRUE,R_6bWaW51dt7FjxDv,EN,I consent,B,B,A,A,B,B,A,A,A,A,A,B,Very familiar (I recognize many),4,4,0,1,2,3,22,11,12,22,14,21,22,23,24,21,4,11,4,3,23,13,2,12,11,4,14,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,0,1,1,0,1,1,1,1,1,21,4,11,22,3,23,22,2,12,11,4,14,14,2,A,A
100,930,TRUE,R_1uybwN9cAWUSFeI,EN,I consent,A,B,B,B,B,B,A,A,B,B,A,B,Very familiar (I recognize many),1,1,0,1,2,3,4,11,22,12,14,21,22,23,11,21,24,11,3,2,12,13,23,12,1,3,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,0,0,1,1,1,1,0,21,24,11,3,2,22,12,23,12,1,3,11,24,11,A,B
100,580,TRUE,R_6Grf9gokJAF6NNY,EN,I consent,A,B,B,B,A,A,B,A,A,B,A,B,Moderately familiar (I recognize some),5,5,2,22,2,3,23,21,23,23,3,21,22,23,24,1,3,21,4,11,12,13,14,11,1,1,3,1,2,3,4,11,12,13,14,21,22,23,24,0,1,1,0,0,0,0,0,1,1,1,1,22,3,21,23,21,23,23,3,11,1,1,3,3,14,B,A
100,603,TRUE,R_5AKfq59V5f5aREu,EN,I consent,A,B,A,A,A,B,B,B,A,B,A,A,Moderately familiar (I recognize some),0,0,1,1,2,3,4,11,12,21,14,21,22,23,24,4,1,21,13,12,4,13,23,11,14,22,1,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,4,1,21,13,12,4,21,23,11,14,22,1,1,4,A,A
100,2718,TRUE,R_1dR34rLjW6jlBek,EN,I consent,A,A,B,A,B,A,A,B,B,A,B,B,Slightly familiar (I may recognize a few),0,0,0,1,2,24,4,11,12,13,24,21,2,23,23,13,14,3,13,2,22,12,14,12,22,24,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,0,1,1,1,1,0,1,0,1,0,13,14,24,13,2,22,12,24,12,2,24,23,4,13,A,A
100,643,TRUE,R_6PzM7klwNQOIf0F,EN,I consent,A,B,B,A,A,B,A,B,B,A,B,A,Moderately familiar (I recognize some),10,6,4,1,2,3,4,11,12,13,14,21,22,23,24,24,24,23,2,22,4,23,24,3,12,22,11,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,1,24,24,23,2,22,4,23,24,3,12,22,11,4,12,B,B
100,593,TRUE,R_1ikP0WaoCmhUC1E,EN,I consent,A,A,B,A,A,B,A,B,B,B,A,B,Very familiar (I recognize many),2,2,0,1,2,3,4,11,12,12,14,12,22,23,24,22,21,22,23,3,4,13,2,21,23,1,4,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,0,1,1,1,22,21,22,23,3,4,12,2,12,23,1,4,21,12,A,B
100,531,TRUE,R_34MG6hVEnfDITvQ,EN,I consent,B,B,B,A,B,A,A,A,A,A,A,A,Very familiar (I recognize many),0,0,0,1,21,1,4,4,12,23,2,21,23,3,21,24,2,3,3,11,13,13,14,14,22,23,24,1,2,3,4,11,12,13,14,21,22,23,24,1,0,0,1,0,1,0,0,1,0,0,0,24,21,1,3,4,13,23,2,14,23,3,21,3,23,B,A
100,1794,TRUE,R_6QtuuwhG8QXRTK9,EN,I consent,B,A,B,A,A,A,A,A,B,B,A,B,Very familiar (I recognize many),10,10,10,1,4,3,3,11,12,13,14,21,14,23,24,2,2,14,4,23,24,14,11,12,22,14,14,1,2,3,4,11,12,13,14,21,22,23,24,1,0,1,0,1,1,1,1,1,0,1,1,2,4,14,3,23,24,14,11,12,14,14,14,22,14,A,B
100,385,TRUE,R_316mn48MFf7OWsu,EN,I consent,B,A,B,B,B,A,A,A,A,B,B,B,Very familiar (I recognize many),10,0,0,1,2,3,4,11,12,13,14,21,22,23,24,2,13,12,3,12,24,12,23,1,14,2,22,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,1,2,13,12,3,12,24,12,23,1,14,2,22,2,23,B,B
100,26884,TRUE,R_3MAPCFCB9JsImAQ,EN,I consent,B,A,B,A,A,A,A,A,A,B,A,A,Very familiar (I recognize many),10,10,3,1,2,3,4,11,12,21,14,2,22,23,24,21,1,21,11,24,23,13,2,21,23,1,4,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,0,1,1,1,21,1,21,11,24,23,21,2,2,23,1,4,2,21,B,A
100,606,TRUE,R_6OqSuWoogVEWGzX,EN,I consent,A,A,A,A,B,B,A,B,B,B,A,B,Very familiar (I recognize many),10,0,0,1,2,3,4,11,12,21,14,21,22,23,24,22,11,22,11,12,22,13,3,24,4,13,13,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,1,22,11,22,11,12,22,21,3,24,4,13,13,1,22,A,A
